Class,Data
01,"-336.88034,35.398777,-15.114801,12.065313,-29.067266,-0.85195506,-0.14714622,-15.086349,-5.1468177,3.595334,-15.937686,13.360166,-9.6974325,7.491609,-1.4375645,-5.5511813,-0.37436447,3.1322923,-9.833564,5.6495028"
01,"-327.5506,9.742822,-13.691839,14.211728,-23.053043,0.016631257,-6.0680656,-9.708682,-12.335459,2.8411992,-19.701853,9.193432,-11.272489,9.246395,-2.2789598,-3.2942815,-1.2250196,3.4451075,-6.732702,5.838034"
01,"-342.19775,11.386305,-10.075068,20.357876,-22.651493,-2.4074283,-3.739501,-11.028738,-7.1261206,-0.58410054,-20.119457,16.96135,-15.028478,9.852343,-3.536695,-0.663321,-2.3939788,2.0572715,-6.361889,6.9318533"
01,"-331.07883,0.68040544,-0.8504097,28.568863,-29.370317,-0.05211552,-4.2260346,-10.4639635,-15.62717,-0.7564576,-20.509209,11.805873,-14.934894,7.757505,-0.47439513,-2.4315174,-2.1737666,0.75345135,-10.649098,6.5585575"
01,"-368.17654,7.8371744,-3.318348,29.576313,-16.057148,-1.4501868,1.8071924,-15.28391,-7.4530563,1.1257305,-15.764006,13.876047,-13.412633,10.217056,0.04354344,-0.7960276,-3.4986138,3.0633607,-12.035186,2.969769"
01,"-276.7058,17.13989,6.7623444,16.586689,-16.935467,0.8320595,-4.942717,-10.571262,-9.899287,2.2786686,-18.628044,15.627734,-12.463817,6.2008243,-3.8588219,-3.7411273,-9.493138,1.8092985,-12.021266,1.6250373"
01,"-329.1967,32.001812,3.8737218,13.304081,-29.647617,0.25678894,-2.3630545,-13.946318,-11.645918,2.4593265,-18.57507,9.755815,-13.163607,8.351856,0.14692162,0.14426963,-1.5758526,4.9745502,-6.0973825,5.404068"
01,"-309.77408,44.35906,-24.142237,13.543124,-22.75411,-5.9828687,-1.3937931,-18.83491,-5.851703,5.1963377,-18.108347,13.354889,-17.276054,9.763447,-4.174299,-7.019983,-4.1540966,-1.1243993,-9.249448,0.9447399"
01,"-351.29724,7.0175276,-0.19624613,18.84139,-21.859924,-0.86200875,-6.2545705,-11.920563,-10.6125555,-1.095549,-18.809036,13.590877,-15.176906,12.422231,-3.453224,-0.6791215,2.1302266,3.5505724,-4.6352663,8.820688"
01,"-330.63116,33.093437,-7.5762,22.793873,-20.53229,-6.789082,-6.9146667,-15.058102,-6.567794,-0.8668025,-19.948732,14.713107,-14.661053,7.5655146,-3.6651857,-2.2379634,-2.216466,-0.9473977,-9.699416,3.5725706"
01,"-331.4373,45.83405,0.4798442,20.033772,-11.690937,4.2690043,-2.8082688,-10.08321,-8.023351,2.568408,-19.349443,12.992652,-14.096778,5.195918,-2.1723824,-3.727539,-3.9376798,-0.98995674,-12.236504,1.4838071"
01,"-303.9795,72.090614,-6.597791,6.259718,-8.278817,1.4638474,1.544147,-29.315405,-7.223003,8.707723,-21.742592,17.46196,-16.394222,6.010364,-4.534902,-5.6771827,-6.1735067,0.4878063,-14.364929,-0.4068617"
01,"-320.98785,27.746649,-10.342366,24.45317,-21.446135,-6.6351557,-3.0159621,-16.143812,-8.596014,-0.03447189,-17.969723,9.05632,-13.904844,7.816897,-5.0206304,-2.1663508,-1.4253798,3.2835891,-6.0256863,9.637547"
01,"-291.30197,55.816856,-6.5546446,21.617197,-13.977239,-2.1762154,0.2860362,-21.772198,-11.564326,3.3984892,-21.094797,12.609092,-16.318953,4.5993133,-5.491837,-5.379152,-3.6523297,-0.6749034,-13.000154,2.472934"
01,"-391.57977,24.681543,-2.699455,25.669336,-13.432288,1.8860178,-2.5240388,-13.404446,-6.2029757,-0.96049696,-14.149495,15.257267,-10.018481,11.953756,-2.1066594,-1.8972977,0.5129191,2.7813563,-7.6850023,6.535207"
01,"-355.90405,2.5687275,-1.8165724,24.693281,-24.886381,0.11703882,-5.5469055,-15.375003,-9.157452,-0.83019495,-14.741871,12.077953,-11.065536,10.170057,-3.6322186,0.4729317,-3.1496983,2.5679789,-7.4282727,6.63717"
01,"-339.69818,15.594013,-4.082184,21.651302,-33.208786,4.629953,-4.3750095,-13.851024,-9.188371,-0.45822847,-16.152584,9.094806,-14.514764,9.661002,-3.5150905,-2.5245655,-2.0871994,1.2074592,-10.349728,3.0960302"
